length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
30,1,1,4413,2,150,64,0
30,3,58,20032,76,481,173,21
33,2,1,14164,1,331,70,0
33,2,146,17556,37,331,160,0
33,3,1,41171,1,529,70,0
33,2,0,13577,1,331,70,0
34,2,22,14168,28,341,140,0
33,2,1,13596,1,331,70,0
33,4,718,116332,628,758,483,62
32,3,1,41083,1,513,70,0
34,2,94,16238,64,341,399,3
39,2,5,14793,5,391,100,0
37,3,15,34409,12,593,208,3
39,2,57,15080,60,391,167,1
39,1,4,6218,4,195,120,0
38,3,13,37381,8,609,131,3
37,3,14,34577,16,593,126,9
38,2,3,14580,4,381,86,0
38,2,1,14087,1,381,80,0
23,3,39,17123,72,369,118,2
23,2,8,6302,15,231,62,0
23,1,1,3339,2,115,52,0
23,2,1,6024,2,231,53,0
23,3,8,18886,12,369,85,1
23,1,1,3961,2,115,53,0
23,2,1,6467,2,231,52,0
23,2,13,6176,30,231,68,0
23,4,3634,44260,6540,528,396,55
23,4,621,38530,454,528,335,14
39,1,1,6048,1,195,80,0
38,2,1,15167,2,381,82,0
39,1,1,7032,1,195,80,0
40,2,6,17025,7,401,86,0
38,2,181,16487,84,381,194,5
39,2,21,15405,21,391,114,4
39,2,11,15806,14,391,88,0
39,2,39,19740,32,391,122,1
38,2,2,16018,2,381,82,0
24,1,20,3336,16,120,68,0
25,3,4,13929,8,401,66,1
25,2,26,7540,30,251,72,0
25,3,3,13956,6,401,75,0
25,2,2,6585,4,251,59,0
25,2,226,6036,378,251,224,4
25,3,12,13266,14,401,88,0
25,3,301,14962,270,401,271,3
25,2,18,5922,30,251,72,0
25,2,3,5837,5,251,81,0
21,1,0,2990,2,105,49,0
21,3,103,15998,216,337,139,0
21,3,592,15451,28,337,66,0
21,2,364,5996,469,211,711,7
20,2,230,5226,326,201,603,35
21,2,107,6106,249,211,197,1
21,2,20,5308,30,211,65,0
21,1,0,3097,2,105,49,0
21,3,1005,11991,1396,337,339,4
21,3,56,10995,128,337,79,10
35,1,10,4990,6,175,94,0
34,2,8,10792,8,341,84,2
35,2,121,13963,148,351,182,14
34,3,15,26641,18,545,122,4
35,2,4,11256,4,351,83,0
35,3,5,29719,6,561,93,0
34,2,5,11343,4,341,84,1
35,2,5,12582,6,351,88,0
35,2,7,11704,6,351,93,0
35,3,166,31823,64,561,101,1
40,2,1,18962,2,401,86,0
41,1,2,6937,2,205,86,0
41,1,1,6673,1,205,84,0
39,3,3513,71633,3786,625,674,1353
41,1,41,6424,48,205,207,0
35,2,1,13049,2,351,76,0
35,2,2167,17806,2352,351,705,430
35,2,1,12781,1,351,74,0
35,2,2,13713,2,351,82,0
37,2,74,16059,93,371,173,0
35,2,1,12842,2,351,82,0
35,2,36,13273,47,351,185,0
37,2,25,15384,30,371,118,0
35,3,13,36625,16,561,88,0
35,1,1,5221,2,175,74,0
36,2,310,15278,216,361,138,6
34,3,272,38567,96,545,112,25
34,3,1690,39186,1600,545,599,674
34,2,6,12298,9,341,88,0
35,1,1,6050,2,175,74,0
34,2,9,12004,11,341,142,6
34,2,143,13551,33,341,165,0
34,2,22,13092,33,341,165,0
34,2,1,13596,2,341,74,0
23,1,10,3420,13,115,92,0
22,1,0,3158,2,110,48,0
22,2,513,5959,1021,221,431,590
23,1,0,3241,1,115,46,0
21,2,0,5034,2,211,48,0
20,3,729,12402,212,321,147,130
22,1,1,3259,2,110,48,0
22,1,1,3237,2,110,48,0
20,3,41,12382,66,321,144,29
21,1,1,3105,3,105,52,0
20,1,32,3528,48,100,177,0
21,2,2,5152,2,211,49,0
21,2,9,6502,10,211,96,0
21,2,21,5505,30,211,64,0
21,3,42,13745,62,337,77,1
21,2,12,5235,14,211,79,0
21,2,6,5518,9,211,65,0
21,1,0,3212,1,105,42,0
21,2,4,5220,6,211,59,0
36,3,3435,43276,4302,577,963,2788
37,1,1,5144,2,185,78,0
37,2,14,12835,18,371,138,0
37,2,6,12897,1,371,76,0
36,2,2,11299,4,361,80,0
35,4,763,71357,658,804,416,247
37,2,97,16100,33,371,170,0
38,2,20,13565,20,381,147,0
9,3,22,4732,115,145,225,36
9,1,0,2665,1,45,18,0
9,1,0,2578,3,45,28,0
9,3,7,4760,38,145,78,0
9,2,10,3009,45,91,37,0
8,2,33,3011,141,81,227,30
9,2,5,2993,34,91,63,0
9,3,762,5269,3598,145,707,67
9,3,817,5945,3718,145,428,54
9,2,6,3005,38,91,78,0
37,2,6,14971,7,371,82,0
38,1,1,6996,1,190,76,0
37,2,974,17697,952,371,239,60
37,1,0,5742,1,185,76,0
37,1,0,6112,1,185,76,0
38,2,118,18311,144,381,160,7
37,2,6,15931,7,371,82,0
37,2,191,18834,238,371,171,9
37,2,5,15945,7,371,82,0
35,1,1,5156,1,175,72,0
35,1,4,4929,5,175,97,0
34,3,58,33656,70,545,164,6
35,1,1,5529,2,175,81,0
36,1,10,5107,9,180,85,0
36,1,12,5136,16,180,104,0
36,1,1,5742,1,180,72,0
34,3,12,33538,16,545,119,1
36,2,168,13977,64,361,173,0
28,1,11,3758,17,140,86,0
27,1,1,3538,2,135,58,0
28,1,1,3727,2,140,61,0
28,2,4,7387,7,281,62,0
26,2,36,7069,66,261,152,2
26,3,8168,26161,11018,417,720,1308
27,2,8,6888,14,271,64,0
27,3,5397,24530,3421,433,1842,551
27,2,14,7350,14,271,64,0
25,2,5,6588,7,251,80,0
25,2,35,6888,43,251,130,0
25,3,2,18351,4,401,68,0
25,2,1,7013,2,251,57,0
25,1,1,3580,2,125,56,0
25,3,3,17707,4,401,68,0
25,2,1,6757,2,251,56,0
25,1,8,3550,15,125,66,0
25,1,11,3409,15,125,66,0
25,3,1891,17315,3254,401,367,99
29,2,4,8616,4,291,76,0
29,3,9,22947,12,465,104,0
29,1,1,4634,2,145,65,0
29,2,2315,10649,2294,291,694,0
29,1,0,4352,1,145,58,0
29,1,1,3761,2,145,61,0
29,2,2,8357,4,291,68,0
29,3,38,25598,62,465,171,31
29,3,125,20736,200,465,208,74
29,1,2,4091,3,145,68,0
25,2,1,7119,2,251,56,0
26,1,0,3609,1,130,54,0
25,2,1,6981,2,251,56,0
26,2,34,8315,57,261,230,1
27,2,41,8068,70,271,263,2
27,2,0,8305,1,271,54,0
26,2,23,7899,40,261,84,5
26,1,1,3686,2,130,56,0
26,1,0,3484,1,130,54,0
26,1,1,3727,2,130,56,0
17,2,2,3946,7,171,40,0
16,2,4,3652,14,161,44,0
15,2,1,3794,3,151,49,1
16,1,0,2815,1,80,34,0
16,2,5,3787,14,161,44,0
16,2,0,3826,2,161,38,0
16,2,5,3626,14,161,44,0
16,2,10,3754,30,161,68,6
16,2,4,3748,14,161,44,0
33,1,0,4225,1,165,66,0
33,1,1,4233,3,165,76,0
33,2,15,9071,17,331,113,0
33,3,2,23434,2,529,73,0
33,3,31,22515,40,529,157,0
33,2,0,9067,1,331,66,0
33,1,0,4312,1,165,66,0
33,3,1,21853,2,529,68,0
33,2,1,9170,1,331,66,0
33,2,2,9263,3,331,76,0
19,3,15,9041,36,305,78,9
19,2,4,5346,12,191,68,0
19,1,1,2995,2,95,44,0
19,3,1382,10189,1455,305,792,220
19,3,123,9309,240,305,113,13
19,3,974,11062,466,305,968,28
19,2,2,4707,4,191,54,0
19,2,15,4362,30,191,60,0
19,2,184,4442,266,191,548,5
19,2,2,4344,4,191,54,0
25,3,19,15737,28,401,66,1
26,2,2,6817,4,261,68,0
25,2,20,6940,30,251,110,11
26,3,10498,27455,9389,417,1443,185
26,1,4,3477,9,130,82,0
25,1,33,3430,69,125,221,0
25,3,206,14555,448,401,156,77
26,2,234,6637,68,261,123,1
24,2,26,7160,56,241,62,0
24,2,53,5615,105,241,70,0
24,1,3,3235,7,120,88,0
24,3,2608,17173,3554,385,1071,30
24,2,7,5851,14,241,60,0
24,2,3962,10360,4741,241,1982,114
24,4,1392,47130,1356,551,255,8
24,2,74,6763,100,241,191,0
23,3,15,14636,28,369,72,0
23,3,26,12591,28,369,63,4
18,2,7,4465,16,181,75,0
18,1,1,2906,2,90,42,0
18,3,3,8722,8,289,55,0
18,3,35,9018,76,289,102,2
18,2,2,4003,3,181,46,0
18,2,42,4375,90,181,75,4
18,4,50,20957,120,413,82,4
18,3,2,9570,8,289,69,0
18,2,3,4348,10,181,62,0
18,2,1,4020,4,181,49,0
32,2,53,12400,59,321,276,17
34,2,420,15004,112,341,169,2
33,1,30,5179,38,165,195,0
32,2,1970,18788,1750,321,709,957
33,2,1360,13826,69,331,116,2
33,3,958,33683,588,529,278,89
32,3,5229,46344,7063,513,354,1581
33,2,9,12402,14,331,78,0
33,2,356,20318,203,331,302,129
38,1,13,6797,16,190,108,0
37,2,1818,21605,395,371,1757,132
37,2,1,20870,1,371,76,0
36,2,2,18627,2,361,83,0
37,2,34,20493,36,371,169,0
37,2,9,18702,10,371,106,0
37,1,45,6707,51,185,281,0
36,3,43,52397,51,577,281,0
24,3,5,17224,10,385,78,0
27,2,100,8714,182,271,138,7
26,1,0,3575,1,130,54,0
27,2,10,7432,20,271,96,0
26,2,97,7204,160,261,119,65
27,2,324,8050,208,271,159,3
26,3,12,19004,14,417,86,0
26,2,1,6964,2,261,59,0
26,2,0,6901,1,261,54,0
26,2,7,7304,8,261,62,0
19,2,1,4588,2,191,44,0
21,1,6,3078,13,105,88,0
19,4,784,26826,780,436,211,216
20,2,14,4677,31,201,126,0
20,2,23,5123,32,201,76,1
21,2,97,5127,208,211,141,3
19,2,1,4872,2,191,44,0
20,1,0,2973,2,100,44,0
20,1,12,2969,31,100,126,0
19,2,1,5443,2,191,44,0
20,2,3,5095,9,201,63,0
19,2,2,4637,4,191,54,1
20,2,3,5683,6,201,70,0
20,2,6,5064,15,201,70,0
20,1,46,3349,83,100,293,0
20,2,18,4933,30,201,71,1
19,2,5,4626,7,191,68,0
20,2,8,4905,15,201,56,0
20,2,19,6176,31,201,134,1
20,1,1,3182,2,100,46,0
26,2,4,8597,6,261,66,1
26,2,28,7587,45,261,79,10
27,2,12,7730,15,271,70,0
27,2,2,7516,4,271,79,0
