length, lev_dist, lev_margin, lang_size, time
64, 1, 0, 38, 1.303267250s
29, 2, 1, 29379, 1.435801166s
18, 1, 0, 3, 55.233750ms
78, 2, 1, 64496, 7.219257833s
31, 2, 1, 20061, 701.792542ms
28, 1, 0, 33, 308.779166ms
59, 2, 1, 78685, 2.376771625s
12, 2, 1, 4715, 146.231125ms
36, 2, 1, 27955, 1.204200500s
62, 2, 0, 64, 3.368582833s
33, 2, 1, 2762, 427.280458ms
29, 1, 0, 33, 293.289458ms
27, 1, 0, 14, 119.998833ms
19, 1, 0, 64, 52.803667ms
83, 1, 0, 237, 2.283521458s
27, 2, 1, 39578, 1.827074166s
40, 2, 1, 1504, 707.510167ms
37, 3, 2, 5681724, 47.639364584s
45, 1, 0, 28, 548.981625ms
36, 1, 0, 78, 230.538166ms
32, 2, 1, 12456, 812.727250ms
94, 1, 0, 7, 3.777305s
56, 1, 0, 154, 880.082709ms
39, 1, 0, 2, 238.931292ms
62, 2, 1, 35826, 2.424078166s
41, 1, 0, 13, 481.558042ms
23, 1, 0, 82, 134.363583ms
24, 1, 0, 26, 227.334292ms
76, 1, 0, 29, 2.038882291s
41, 1, 0, 90, 626.286958ms
46, 2, 1, 29168, 2.703265209s
9, 1, 0, 2, 16.725667ms
27, 1, 0, 20, 138.529ms
19, 2, 1, 18998, 2.135366167s
14, 2, 1, 13963, 169.075958ms
66, 2, 1, 216106, 38.428622708s
18, 3, 2, 4105974, 1m 6.518137334s
31, 2, 1, 24452, 1.520459250s
83, 1, 0, 4, 3.748758s
32, 1, 0, 10, 185.410375ms
58, 1, 0, 33, 1.307120834s
77, 3, 2, 22229933, 1m 3.535957250s
7, 2, 1, 6192, 261.704833ms
34, 1, 0, 4, 162.333417ms
9, 1, 0, 46, 10.676917ms
12, 2, 1, 3118, 216.210792ms
49, 2, 1, 12514, 2.055164459s
22, 1, 0, 18, 89.445500ms
65, 1, 0, 88, 1.455920208s
27, 1, 0, 53, 129.456834ms
16, 2, 1, 887, 112.698334ms
18, 2, 1, 2590, 241.739166ms
36, 1, 0, 58, 435.103916ms
11, 2, 1, 362, 87.096041ms
16, 1, 0, 14, 68.363250ms
97, 1, 0, 90, 4.475249625s
20, 2, 1, 7361, 483.432500ms
89, 2, 0, 19, 11.373133500s
28, 3, 2, 9289358, 21.334062541s
23, 1, 0, 98, 96.342334ms
69, 2, 1, 85262, 5.222384083s
58, 2, 1, 91098, 4.444231375s
48, 2, 1, 82285, 4.463659209s
56, 2, 0, 335, 4.051051334s
7, 2, 1, 8302, 191.007917ms
35, 1, 0, 3, 461.224ms
62, 1, 0, 29, 1.626871791s
29, 2, 1, 2810, 654.598334ms
42, 1, 0, 13, 600.616208ms
63, 3, 2, 20663115, 1m 25.333913584s
34, 3, 2, 274048, 15.421255667s
74, 1, 0, 47, 2.388182792s
47, 1, 0, 28, 529.850875ms
9, 1, 0, 64, 10.582667ms
25, 1, 0, 64, 348.276625ms
24, 3, 2, 373626, 25.475537250s
71, 2, 1, 36386, 4.790432791s
41, 3, 2, 6573601, 1m 42.669305458s
10, 2, 1, 472, 86.554208ms
37, 1, 0, 101, 196.912375ms
34, 1, 0, 112, 297.046750ms
72, 1, 0, 71, 2.404115208s
19, 2, 1, 24546, 2.363617416s
29, 1, 0, 26, 273.041792ms
34, 3, 2, 879291, 42.026587667s
14, 3, 2, 1024069, 20.065874167s
66, 2, 1, 37107, 3.801683875s
76, 2, 0, 120, 7.920110667s
35, 2, 0, 85, 949.214625ms
12, 3, 2, 1349310, 7.258132s
42, 2, 0, 1020, 1.594749708s
24, 1, 0, 3, 139.914750ms
34, 1, 0, 83, 464.549375ms
51, 2, 0, 156, 2.738099208s
31, 1, 0, 12, 172.236958ms
36, 1, 0, 3, 575.058583ms
76, 2, 0, 897, 7.840660708s
71, 2, 1, 63518, 6.875009s
87, 2, 1, 67891, 7.737737958s
34, 1, 0, 94, 302.074292ms
32, 1, 0, 58, 486.435708ms
58, 1, 0, 34, 1.272090125s
78, 2, 1, 58763, 6.397766459s
22, 1, 0, 36, 118.592583ms
85, 1, 0, 8, 4.092173375s
20, 3, 2, 2155283, 10.294409791s
11, 1, 0, 2, 32.628958ms
51, 2, 1, 3301, 2.071006917s
45, 3, 1, 180311, 4.393559041s
40, 1, 0, 8, 483.160291ms
63, 1, 0, 63, 1.819007083s
36, 2, 0, 30, 1.067099375s
88, 2, 0, 274, 12.449812333s
22, 1, 0, 20, 96.936958ms
24, 1, 0, 46, 139.436084ms
30, 2, 1, 3564, 889.777ms
15, 1, 0, 32, 50.157459ms
51, 2, 1, 3714, 2.788571917s
84, 1, 0, 35, 4.294220333s
19, 2, 1, 11440, 817.621458ms
62, 1, 0, 34, 1.683809458s
23, 1, 0, 5, 107.11ms
22, 2, 1, 14867, 624.977500ms
31, 1, 0, 27, 319.313292ms
60, 3, 1, 560567, 12.904634750s
87, 3, 1, 3126013, 2m 32.186646542s
53, 1, 0, 38, 1.118786416s
85, 1, 0, 3, 4.028266584s
92, 2, 0, 320, 14.582482292s
95, 2, 1, 62227, 11.333157042s
20, 1, 0, 83, 96.834417ms
18, 3, 2, 72053, 4.517809250s
32, 2, 1, 27569, 898.071125ms
29, 2, 1, 4247, 635.287917ms
34, 1, 0, 109, 506.525708ms
15, 1, 0, 3, 23.510084ms
79, 1, 0, 16, 3.303310375s
36, 2, 1, 28036, 1.314500291s
42, 2, 1, 32482, 6.886638250s
50, 2, 0, 64, 3.219424167s
30, 1, 0, 115, 375.164958ms
22, 1, 0, 26, 99.675959ms
84, 1, 0, 64, 3.852929083s
15, 1, 0, 83, 92.120916ms
30, 2, 1, 18479, 1.440507750s
33, 1, 0, 40, 269.652583ms
13, 1, 0, 83, 41.002708ms
11, 2, 0, 40, 52.357958ms
65, 2, 1, 43194, 11.638092958s
46, 2, 1, 19563, 1.589543333s
19, 2, 1, 13341, 484.723708ms
39, 1, 0, 2, 220.825334ms
25, 2, 1, 13490, 462.146500ms
20, 2, 1, 2201, 194.782292ms
35, 1, 0, 38, 268.093791ms
55, 2, 1, 50842, 2.973199125s
28, 1, 0, 28, 130.114500ms
77, 1, 0, 23, 2.682246625s
13, 1, 0, 12, 18.050625ms
12, 1, 0, 26, 32.807875ms
20, 1, 0, 96, 282.309209ms
37, 2, 1, 27616, 4.366436625s
88, 3, 2, 16734099, 1m 2.900842500s
37, 2, 1, 20564, 836.116625ms
51, 1, 0, 5, 916.273958ms
31, 3, 2, 3708284, 1m 11.228968208s
63, 2, 1, 8766, 3.484409041s
6, 1, 0, 2, 11.618041ms
19, 1, 0, 143, 249.357417ms
75, 1, 0, 37, 3.085959708s
11, 2, 1, 7027, 415.293042ms
15, 2, 1, 6857, 406.281ms
89, 2, 1, 1781, 7.461566250s
31, 1, 0, 49, 337.519125ms
88, 2, 1, 5762, 7.594087s
27, 2, 1, 22314, 1.812162666s
35, 2, 0, 91, 1.220128416s
20, 1, 0, 57, 109.848042ms
94, 2, 1, 81020, 9.327272750s
36, 3, 2, 13084204, 37.215622250s
71, 2, 1, 58140, 4.440859834s
20, 1, 0, 28, 111.562791ms
37, 2, 0, 130, 1.372139084s
69, 2, 1, 54058, 8.629840125s
29, 1, 0, 14, 259.503ms
35, 2, 1, 5309, 824.089958ms
38, 1, 0, 82, 545.429333ms
25, 3, 2, 6835180, 39.707352375s
54, 2, 0, 1223, 3.570919625s
36, 1, 0, 58, 595.103500ms
37, 3, 1, 69824, 5.261138208s
25, 1, 0, 11, 146.232958ms
24, 1, 0, 76, 138.104167ms
15, 2, 1, 11283, 455.779958ms
