length,lev_dist,sample_ms,total_ms,total_samples,lev_ball_arcs,productions,rank
12,2,38,1274,172,121,83,0
27,1,6,1994,10,135,128,0
22,1,20,1267,42,110,241,0
22,4,30067,78703,63134,505,3961,1
23,3,17588,49107,29088,369,561,-1
13,2,8,4091,26,131,166,21
24,1,43,1994,90,120,241,0
12,3,30143,37097,120495,193,3829,0
12,3,30058,37806,53447,193,5238,-1
24,1,5,617,13,120,62,0
22,2,3706,7839,2901,221,1897,796
20,2,11674,15066,12921,201,2869,4627
23,2,208,12974,473,231,331,3
27,1,2,2141,3,135,65,0
19,1,1,414,4,95,62,0
14,4,30212,78482,122683,321,28543,-1
11,1,16,2761,62,55,211,0
13,1,2,169,10,65,55,0
39,1,5,9225,5,195,108,0
14,2,49,973,153,141,422,0
28,1,62,3785,70,140,434,0
21,1,0,1130,1,105,44,0
34,1,38,1299,63,170,219,0
17,1,40,1016,102,85,253,0
34,3,499,19660,390,545,152,0
20,1,3,3013,7,100,46,0
34,1,52,2118,78,170,286,0
33,4,30019,87321,13867,758,3509,173
21,1,33,4000,78,105,283,0
34,1,6,6822,9,170,162,0
21,2,524,8622,841,211,206,77
31,4,30026,110919,16814,712,12867,0
37,2,30008,46911,14399,371,3339,6072
14,2,498,3107,855,141,1745,0
17,3,7390,17929,6288,273,2367,0
21,1,0,303,1,105,44,0
21,1,23,400,60,105,180,0
32,2,21461,32976,16752,321,2961,4299
20,4,30215,82528,65519,459,8671,0
20,1,1,857,2,100,53,0
37,2,70,9228,94,371,114,0
37,1,9,1936,13,185,88,0
20,1,19,1063,44,100,209,0
31,3,30204,64083,110586,497,2610,-1
38,2,898,26957,799,381,437,288
18,1,0,2657,1,90,36,0
33,3,1,88215,1,529,72,0
16,1,3,357,13,80,46,0
31,1,4,1229,7,155,68,0
21,3,30046,58401,18495,337,5014,5005
26,4,30034,100040,65461,597,4012,2
15,3,30067,39393,93039,241,3673,0
12,3,30025,36692,71409,193,3834,0
25,1,6,1999,13,125,71,0
17,3,30303,39872,344527,273,5726,0
26,1,0,748,1,130,52,0
15,1,4,404,15,75,110,0
22,2,54,3555,133,221,100,0
37,2,14771,27104,13516,371,2215,0
18,1,26,438,56,90,245,0
26,1,7,583,13,130,66,0
32,3,1067,77042,586,513,1208,0
34,2,0,9138,1,341,72,0
13,2,1212,3353,2283,131,601,0
27,1,50,1157,58,135,191,0
31,1,30,6206,46,155,258,0
26,1,8,2629,13,130,77,0
35,3,30025,127043,7349,561,10792,0
16,1,2,229,6,80,42,0
17,1,1,612,4,85,50,0
33,1,31,10128,25,165,262,0
15,2,5358,8690,9204,151,3400,3369
26,2,11946,16640,9017,261,2105,2349
34,2,15632,23305,10190,341,2248,3213
23,2,1159,4885,1299,231,258,92
22,2,7846,10846,9612,221,2225,589
28,2,85,7864,147,281,219,0
15,2,6018,7957,12585,151,2662,3457
37,1,24,5953,37,185,195,0
15,2,5511,8747,8159,151,2628,1091
37,4,30011,339313,4838,850,11453,2404
30,2,2111,6519,1853,301,851,721
11,1,8,196,39,55,119,0
14,1,1,304,4,70,44,0
35,3,24416,126005,8222,561,3783,2783
12,2,2926,4219,10300,121,2220,0
12,3,14615,18445,46057,193,2524,0
12,1,25,303,95,60,322,0
41,1,0,4299,1,205,82,0
20,3,6615,22042,8929,321,2483,111
20,2,1157,4469,1875,201,1500,9
26,3,30052,44232,46284,417,2914,0
12,3,11643,17708,16491,193,643,16
35,2,30023,47446,25804,351,6000,0
25,1,4,1908,7,125,66,0
19,2,1300,4889,2237,191,1239,0
40,4,30498,102371,177766,919,3089,0
11,3,30119,38234,56794,177,3934,0
27,2,3645,8550,5238,271,1487,1219
36,3,20496,94269,14730,577,3491,1
35,3,18299,120430,21952,561,283,1248
20,1,14,3028,39,100,148,0
32,4,30311,145489,113796,735,12030,0
24,4,30014,99148,7197,551,3732,0
33,1,7,4834,11,165,143,0
40,1,3,2165,5,200,107,0
39,2,928,57886,232,391,1955,70
23,2,6023,14245,2707,231,2271,0
23,2,10913,21774,8483,231,2902,996
27,1,2,4406,4,135,68,0
18,1,4,396,13,90,50,0
20,2,957,2934,1863,201,708,921
38,1,3,2757,5,190,99,0
33,3,30034,75175,29353,529,11634,0
25,1,0,569,1,125,52,0
30,1,50,2030,37,150,154,0
21,3,30030,39828,114509,337,497,0
31,3,1,81582,2,497,84,1
29,1,0,3317,1,145,60,0
26,2,1269,14781,592,261,1576,0
15,1,28,544,78,75,277,0
21,1,40,731,41,105,159,0
15,1,15,3022,47,75,147,0
32,2,12069,37106,4729,321,2784,2416
36,3,20585,96767,8114,577,2848,11
31,1,24,1594,36,155,150,0
11,3,2073,5778,6276,177,253,0
31,1,44,1047,63,155,211,0
19,3,30163,43704,93178,305,7676,-1
27,1,2,2908,3,135,109,0
18,4,30326,55190,123476,413,2900,0
25,1,32,5094,58,125,184,0
25,4,30267,110437,56401,574,11105,0
12,1,8,173,33,60,119,0
11,1,0,150,1,55,24,0
30,1,0,3979,1,150,62,0
35,2,3901,11013,2259,351,1439,1162
24,4,30282,80558,334515,551,4837,-1
13,3,624,8415,2527,209,92,61
23,3,30061,44485,54316,369,7972,-1
20,2,1735,8515,1316,201,1160,0
15,2,1281,2539,2347,151,973,547
16,1,31,339,90,80,221,0
36,4,30285,184598,118548,827,3554,0
29,2,2172,24498,562,291,3044,0
33,1,79,1593,102,165,280,0
31,1,40,3451,64,155,211,0
32,3,30012,79172,12445,513,4228,3927
31,2,13181,25400,9819,311,3006,0
29,3,30111,60849,90892,465,4063,0
22,2,3711,13575,3459,221,1557,1716
28,2,13866,32976,5528,281,2416,1506
36,1,37,4199,47,180,184,0
12,3,1107,3793,3221,193,999,0
27,3,28060,41624,17047,433,2073,205
28,1,10,6294,16,140,170,0
20,3,17734,26682,22229,321,2080,0
18,4,30054,53084,33472,413,5598,8
20,4,30269,71368,90982,459,23244,-1
35,1,3,1726,4,175,82,0
33,2,23922,37348,13265,331,2994,4896
30,2,530,17818,472,301,332,0
17,3,3,14129,1,273,40,0
16,1,39,637,102,80,246,0
11,1,10,165,36,55,115,0
15,1,24,750,61,75,244,0
33,3,30014,126568,11400,529,23862,94
39,2,235,11397,314,391,301,0
25,1,4,2259,10,125,70,0
17,1,1,329,4,85,50,0
29,2,11929,20198,8248,291,2111,3853
33,4,30319,313482,154292,758,78610,-1
24,3,30074,46496,90042,385,4799,0
12,2,474,4619,1299,121,871,0
15,1,13,242,41,75,162,0
29,2,3245,17768,700,291,2450,461
28,2,12816,18812,11928,281,2500,5181
12,1,2,202,9,60,41,0
29,3,30180,48634,84740,465,7892,-1
14,2,4430,9168,10910,141,2480,4828
22,1,4,384,10,110,63,0
16,3,30071,42893,95250,257,7608,0
29,1,24,4869,36,145,200,0
26,2,7229,21072,3288,261,2185,0
29,2,14577,28933,7022,291,2149,2178
16,2,7546,11018,6253,161,2609,948
27,3,30202,77985,57906,433,7551,0
39,1,12,5517,13,195,92,0
24,3,30143,65710,78340,385,4634,0
23,1,1,765,3,115,58,0
12,2,835,2620,2389,121,1905,646
17,2,5922,8626,7243,171,2500,1697
33,1,0,5001,1,165,68,0
23,2,12206,19402,12491,231,2856,3223
32,1,15,1396,20,160,99,0
27,3,30012,85586,15831,433,3986,1280
31,3,30043,62940,22136,497,2448,0
41,3,3163,68300,3250,657,224,0
12,4,30057,40595,98352,275,6472,-1
34,1,27,8403,39,170,267,0
20,1,20,1191,48,100,223,0
27,1,1,2758,2,135,67,0
33,1,21,1190,20,165,103,0
41,2,30033,61109,22146,411,5977,2
33,2,1,25388,1,331,66,0
16,1,14,3353,29,80,111,0
16,2,5102,7368,7476,161,2257,3825
13,4,30130,45971,99725,298,6504,1
33,3,30015,102270,12354,529,4632,7345
33,2,103,6903,160,331,125,0
24,4,30250,81069,101101,551,4217,0
11,3,3222,5412,7378,177,1225,0
39,4,30434,137454,231227,896,3052,-1
20,2,1239,7721,2409,201,469,0
13,1,17,186,55,65,155,0
41,3,30020,191452,10516,657,29782,10
29,2,2577,9658,1568,291,1122,1053
34,4,30227,171818,122543,781,38414,0
15,2,9,1256,24,151,70,0
31,3,30035,59553,27601,497,9920,930
11,2,1046,4263,3182,111,1386,820
20,4,30736,111020,187436,459,39193,-1
17,3,30049,52058,28130,273,19725,0
26,1,6,5396,13,130,66,0
34,1,8,2910,13,170,82,0
15,3,30029,38902,112024,241,459,145
34,2,4326,9959,2253,341,1063,1108
32,3,7864,28359,12071,513,309,0
18,2,550,2161,1080,181,971,48
32,4,30264,111393,103452,735,22196,-1
33,1,1,2022,1,165,66,0
17,3,30049,45407,94280,273,6137,-1
34,3,29637,135818,7774,545,3775,0
15,4,30705,51481,395519,344,7504,-1
21,3,270,5610,233,337,448,35
37,2,28397,47273,12986,371,3133,6587
13,1,10,2877,39,65,123,0
31,3,30026,112023,24751,497,6113,-1
28,1,6,1016,13,140,133,0
18,1,7,499,27,90,102,0
30,2,14675,21254,10701,301,3385,4688
25,1,34,1246,69,125,223,0
33,1,9,3780,13,165,152,0
31,2,3668,10892,3226,311,2016,0
26,2,0,11905,1,261,56,0
13,1,4,163,14,65,52,0
23,1,0,3873,1,115,48,0
22,4,30754,64615,429491,505,7729,-1
11,2,400,1763,1482,111,555,299
19,1,0,806,1,95,40,0
39,1,23,8507,28,195,181,0
19,1,7,3459,22,95,77,0
34,1,43,3809,63,170,217,0
26,2,827,13949,1300,261,278,0
25,1,0,1802,1,125,48,0
13,3,30073,37517,101991,209,4427,-1
20,1,25,585,45,100,148,0
26,1,4,2232,7,130,60,0
19,3,6910,14117,14070,305,1183,0
23,1,5,3450,9,115,135,0
32,1,82,4602,55,160,363,0
18,3,17260,33770,23053,289,2168,0
19,2,1054,7328,1298,191,1341,165
20,4,30269,63536,352563,459,6659,0
30,4,30045,179273,43707,689,23755,0
26,1,66,5929,98,130,448,0
29,2,20946,28416,19740,291,3093,0
29,3,30049,58688,39064,465,3957,279
16,4,262,15228,843,367,130,0
16,2,5857,12111,9365,161,3501,3769
20,2,177,6234,236,201,166,0
17,2,2708,4271,3563,171,1895,1456
38,3,30019,110486,12612,609,5397,6485
27,2,3309,11313,3084,271,1710,0
18,1,19,347,48,90,160,0
19,4,30141,61004,183325,436,7255,-1
21,3,30057,44776,37533,337,8642,1
29,2,11,12137,18,291,87,0
31,4,30082,125079,70660,712,20144,0
23,3,3,8391,8,369,57,3
21,2,1377,7872,614,211,1396,426
19,1,0,3242,1,95,40,0
19,3,15769,23909,21798,305,1865,0
36,4,30012,93285,12919,827,3471,207
35,2,10628,21597,3497,351,1931,1610
34,4,30151,142710,239152,781,1220,0
27,2,11610,21491,6009,271,2164,1172
25,3,30034,60406,32192,401,11882,0
20,4,30203,64707,149037,459,3095,-1
37,1,49,2207,63,185,223,0
17,1,18,746,59,85,229,0
30,3,11634,28910,7347,481,2280,4895
39,2,1,10804,1,391,82,0
36,3,30022,138052,17848,577,6360,8059
19,2,9222,15818,8609,191,2962,1121
22,1,2,6797,4,110,93,0
19,1,39,704,76,95,262,0
19,2,930,3881,1563,191,697,25
36,3,30017,135891,5080,577,18771,46
39,3,30024,80921,19677,625,3363,125
19,4,30054,46655,64367,436,3581,0
